codigo,nombre,localidad
CP1,Comercio CP1,Carmen de Patagones
CP2,Comercio CP2,Carmen de Patagones
CP3,Comercio CP3,Carmen de Patagones
CP4,Comercio CP4,Carmen de Patagones
CP5,Comercio CP5,Carmen de Patagones
CP6,Comercio CP6,Carmen de Patagones
CP7,Comercio CP7,Carmen de Patagones
CP8,Comercio CP8,Carmen de Patagones
CP9,Comercio CP9,Carmen de Patagones
CP10,Comercio CP10,Carmen de Patagones
CP11,Comercio CP11,Carmen de Patagones
CP12,Comercio CP12,Carmen de Patagones
CP13,Comercio CP13,Carmen de Patagones
CP14,Comercio CP14,Carmen de Patagones
CP15,Comercio CP15,Carmen de Patagones
CP16,Comercio CP16,Carmen de Patagones
CP17,Comercio CP17,Carmen de Patagones
CP18,Comercio CP18,Carmen de Patagones
CP19,Comercio CP19,Carmen de Patagones
CP20,Comercio CP20,Carmen de Patagones
CP21,Comercio CP21,Carmen de Patagones
CP22,Comercio CP22,Carmen de Patagones
CP23,Comercio CP23,Carmen de Patagones
CP24,Comercio CP24,Carmen de Patagones
CP25,Comercio CP25,Carmen de Patagones
CP26,Comercio CP26,Carmen de Patagones
CP27,Comercio CP27,Carmen de Patagones
CP28,Comercio CP28,Carmen de Patagones
CP29,Comercio CP29,Carmen de Patagones
CP30,Comercio CP30,Carmen de Patagones
CP31,Comercio CP31,Carmen de Patagones
CP32,Comercio CP32,Carmen de Patagones
CP33,Comercio CP33,Carmen de Patagones
CP34,Comercio CP34,Carmen de Patagones
CP35,Comercio CP35,Carmen de Patagones
CP36,Comercio CP36,Carmen de Patagones
CP37,Comercio CP37,Carmen de Patagones
CP38,Comercio CP38,Carmen de Patagones
CP39,Comercio CP39,Carmen de Patagones
CP40,Comercio CP40,Carmen de Patagones
CP41,Comercio CP41,Carmen de Patagones
CP42,Comercio CP42,Carmen de Patagones
CP43,Comercio CP43,Carmen de Patagones
CP44,Comercio CP44,Carmen de Patagones
CP45,Comercio CP45,Carmen de Patagones
CP46,Comercio CP46,Carmen de Patagones
CP47,Comercio CP47,Carmen de Patagones
CP48,Comercio CP48,Carmen de Patagones
CP49,Comercio CP49,Carmen de Patagones
CP50,Comercio CP50,Carmen de Patagones
CP51,Comercio CP51,Carmen de Patagones
CP52,Comercio CP52,Carmen de Patagones
CP53,Comercio CP53,Carmen de Patagones
CP54,Comercio CP54,Carmen de Patagones
CP55,Comercio CP55,Carmen de Patagones
CP56,Comercio CP56,Carmen de Patagones
CP57,Comercio CP57,Carmen de Patagones
CP58,Comercio CP58,Carmen de Patagones
CP59,Comercio CP59,Carmen de Patagones
CP60,Comercio CP60,Carmen de Patagones
CP61,Comercio CP61,Carmen de Patagones
CP62,Comercio CP62,Carmen de Patagones
CP63,Comercio CP63,Carmen de Patagones
CP64,Comercio CP64,Carmen de Patagones
CP65,Comercio CP65,Carmen de Patagones
CP66,Comercio CP66,Carmen de Patagones
CP67,Comercio CP67,Carmen de Patagones
CP68,Comercio CP68,Carmen de Patagones
CP69,Comercio CP69,Carmen de Patagones
CP70,Comercio CP70,Carmen de Patagones
CP71,Comercio CP71,Carmen de Patagones
CP72,Comercio CP72,Carmen de Patagones
CP73,Comercio CP73,Carmen de Patagones
CP74,Comercio CP74,Carmen de Patagones
CP75,Comercio CP75,Carmen de Patagones
CP76,Comercio CP76,Carmen de Patagones
CP77,Comercio CP77,Carmen de Patagones
CP78,Comercio CP78,Carmen de Patagones
CP79,Comercio CP79,Carmen de Patagones
CP80,Comercio CP80,Carmen de Patagones
CP81,Comercio CP81,Carmen de Patagones
CP82,Comercio CP82,Carmen de Patagones
CP83,Comercio CP83,Carmen de Patagones
CP84,Comercio CP84,Carmen de Patagones
CP85,Comercio CP85,Carmen de Patagones
CP86,Comercio CP86,Carmen de Patagones
CP87,Comercio CP87,Carmen de Patagones
CP88,Comercio CP88,Carmen de Patagones
CP89,Comercio CP89,Carmen de Patagones
CP90,Comercio CP90,Carmen de Patagones
CP91,Comercio CP91,Carmen de Patagones
CP92,Comercio CP92,Carmen de Patagones
CP93,Comercio CP93,Carmen de Patagones
CP94,Comercio CP94,Carmen de Patagones
CP95,Comercio CP95,Carmen de Patagones
CP96,Comercio CP96,Carmen de Patagones
CP97,Comercio CP97,Carmen de Patagones
CP98,Comercio CP98,Carmen de Patagones
CP99,Comercio CP99,Carmen de Patagones
CP100,Comercio CP100,Carmen de Patagones
